iter	Passed	Remaining
0	2	212
1	3	192
2	5	191
3	7	185
4	9	181
5	11	185
6	13	185
7	15	182
8	18	182
9	20	181
10	22	179
11	24	180
12	26	177
13	28	176
14	30	174
15	32	172
16	35	171
17	37	169
18	39	167
19	41	164
20	43	163
21	45	161
22	47	158
23	48	154
24	50	151
25	52	148
26	53	145
27	55	143
28	57	141
29	59	138
30	61	136
31	62	133
32	64	130
33	66	128
34	67	126
35	69	123
36	71	120
37	72	118
38	74	116
39	76	114
40	78	112
41	79	110
42	81	108
43	82	105
44	84	103
45	86	101
46	88	99
47	89	97
48	91	94
49	92	92
50	93	90
51	95	88
52	97	86
53	98	84
54	100	82
55	102	80
56	103	78
57	105	76
58	107	74
59	108	72
60	110	70
61	112	68
62	114	67
63	116	65
64	119	64
65	121	62
66	123	60
67	125	59
68	128	57
69	130	56
70	133	54
71	135	52
72	136	50
73	137	48
74	139	46
75	141	44
76	142	42
77	144	40
78	145	38
79	146	36
80	148	34
81	149	32
82	151	31
83	153	29
84	154	27
85	156	25
86	157	23
87	158	21
88	160	19
89	162	18
90	163	16
91	165	14
92	166	12
93	168	10
94	170	8
95	172	7
96	174	5
97	176	3
98	178	1
99	179	0
